epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.6589986681938171,0.7367081642150879,9.999999747378752e-05,0.6130937933921814,0.8887467980384827,0.9619214534759521,0.34549379348754883
1,0.8317546248435974,0.9189915657043457,9.999999747378752e-05,0.37127596139907837,0.9207161068916321,0.9790959358215332,0.24446873366832733
2,0.8834009766578674,0.952640950679779,9.999999747378752e-05,0.2885456085205078,0.9245524406433105,0.9826381206512451,0.2123667299747467
3,0.8944519758224487,0.9626805186271667,9.999999747378752e-05,0.25433236360549927,0.9335038065910339,0.9852147102355957,0.19146761298179626
4,0.9066305756568909,0.9686307907104492,9.999999747378752e-05,0.23216363787651062,0.9347826242446899,0.9866383075714111,0.1767718642950058
5,0.9158772826194763,0.975764274597168,9.999999747378752e-05,0.20455488562583923,0.9437339901924133,0.987591564655304,0.1620762199163437
6,0.9199368357658386,0.97957444190979,9.999999747378752e-05,0.18809235095977783,0.9475703239440918,0.9884032607078552,0.1441347301006317
7,0.9237708449363708,0.9780296683311462,9.999999747378752e-05,0.18900254368782043,0.9450128078460693,0.9892024993896484,0.15128351747989655
8,0.9276048541069031,0.9813567399978638,9.999999747378752e-05,0.17499448359012604,0.948849081993103,0.9899183511734009,0.14084412157535553
9,0.9332430958747864,0.9833946228027344,9.999999747378752e-05,0.16718056797981262,0.9526854157447815,0.9903721213340759,0.13183850049972534
